time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,image_path
2022-01-01,20.8,18.0,24.1,5.3,,,9.7,,1010.2,,images\img_2022-01-01_-23.5505_-46.6333.png
2022-01-02,21.5,17.8,25.8,17.0,,,7.3,,1012.1,,images\img_2022-01-02_-23.5505_-46.6333.png
2022-01-03,21.5,17.7,26.4,14.0,,,7.4,,1011.3,,images\img_2022-01-03_-23.5505_-46.6333.png
2022-01-04,22.1,19.3,25.7,13.4,,,12.2,,1008.3,,images\img_2022-01-04_-23.5505_-46.6333.png
2022-01-05,21.5,19.7,25.2,9.1,,,18.5,,1007.3,,images\img_2022-01-05_-23.5505_-46.6333.png
2022-01-06,20.7,18.6,25.4,16.9,,,14.2,,1009.6,,images\img_2022-01-06_-23.5505_-46.6333.png
2022-01-07,19.1,17.9,21.7,2.7,,,16.9,,1012.5,,images\img_2022-01-07_-23.5505_-46.6333.png
2022-01-08,18.6,16.8,20.8,2.1,,,17.9,,1013.9,,images\img_2022-01-08_-23.5505_-46.6333.png
2022-01-09,17.8,16.1,19.9,2.5,,,16.3,,1014.9,,images\img_2022-01-09_-23.5505_-46.6333.png
2022-01-10,19.0,15.0,24.1,0.9,,,7.5,,1011.6,,images\img_2022-01-10_-23.5505_-46.6333.png
2022-01-11,20.3,17.7,25.9,6.6,,,6.3,,1011.4,,images\img_2022-01-11_-23.5505_-46.6333.png
2022-01-12,21.1,18.1,26.5,21.7,,,7.1,,1013.8,,images\img_2022-01-12_-23.5505_-46.6333.png
2022-01-13,21.7,18.7,26.6,20.0,,,6.4,,1017.5,,images\img_2022-01-13_-23.5505_-46.6333.png
2022-01-14,22.4,19.7,27.7,5.2,,,7.3,,1019.7,,images\img_2022-01-14_-23.5505_-46.6333.png
2022-01-15,22.5,20.1,27.3,2.4,,,7.4,,1018.7,,images\img_2022-01-15_-23.5505_-46.6333.png
2022-01-16,22.0,19.1,27.5,13.6,,,7.1,,1015.2,,images\img_2022-01-16_-23.5505_-46.6333.png
2022-01-17,22.2,17.7,27.3,3.7,,,9.0,,1014.4,,images\img_2022-01-17_-23.5505_-46.6333.png
2022-01-18,22.9,19.0,28.7,14.0,,,7.3,,1016.1,,images\img_2022-01-18_-23.5505_-46.6333.png
2022-01-19,22.7,18.4,29.0,8.8,,,6.2,,1017.4,,images\img_2022-01-19_-23.5505_-46.6333.png
2022-01-20,23.3,20.2,28.5,1.8,,,5.5,,1016.4,,images\img_2022-01-20_-23.5505_-46.6333.png
2022-01-21,22.3,18.4,27.9,0.1,,,8.8,,1015.2,,images\img_2022-01-21_-23.5505_-46.6333.png
2022-01-22,22.0,18.3,28.9,0.1,,,9.0,,1014.9,,images\img_2022-01-22_-23.5505_-46.6333.png
2022-01-23,23.2,18.8,31.1,0.0,,,7.7,,1013.9,,images\img_2022-01-23_-23.5505_-46.6333.png
2022-01-24,23.9,19.9,31.1,2.2,,,8.7,,1013.1,,images\img_2022-01-24_-23.5505_-46.6333.png
2022-01-25,23.6,19.3,30.8,1.8,,,8.5,,1012.7,,images\img_2022-01-25_-23.5505_-46.6333.png
2022-01-26,24.1,19.5,29.5,1.9,,,9.4,,1011.6,,images\img_2022-01-26_-23.5505_-46.6333.png
2022-01-27,23.8,19.7,29.3,1.0,,,13.4,,1010.5,,images\img_2022-01-27_-23.5505_-46.6333.png
2022-01-28,21.0,18.4,25.4,7.8,,,12.5,,1010.5,,images\img_2022-01-28_-23.5505_-46.6333.png
2022-01-29,19.7,18.4,22.8,45.0,,,7.7,,1011.1,,images\img_2022-01-29_-23.5505_-46.6333.png
2022-01-30,20.7,18.2,24.3,25.1,,,13.7,,1011.5,,images\img_2022-01-30_-23.5505_-46.6333.png
2022-01-31,20.4,19.1,23.6,31.7,,,16.9,,1011.6,,images\img_2022-01-31_-23.5505_-46.6333.png
